 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
4; C26.12;Proizvodnja elektronskih plošè;Manufacture of loaded electronic boards; C26.1;
5; C26.120;Proizvodnja elektronskih plošè;Manufacture of loaded electronic boards; C26.12;
3; C26.2;Proizvodnja raèunalnikov in perifernih naprav;Manufacture of computers and peripheral equipment; C26;
4; C26.20;Proizvodnja raèunalnikov in perifernih naprav;Manufacture of computers and peripheral equipment; C26.2;
5; C26.200;Proizvodnja raèunalnikov in perifernih naprav;Manufacture of computers and peripheral equipment; C26.20;
3; C26.3;Proizvodnja komunikacijskih naprav;Manufacture of communication equipment; C26;
4; C26.30;Proizvodnja komunikacijskih naprav;Manufacture of communication equipment; C26.3;
5; C26.300;Proizvodnja komunikacijskih naprav;Manufacture of communication equipment; C26.30;
3; C26.4;Proizvodnja elektronskih naprav za široko rabo;Manufacture of consumer electronics; C26;
4; C26.40;Proizvodnja elektronskih naprav za široko rabo;Manufacture of consumer electronics; C26.4;
5; C26.400;Proizvodnja elektronskih naprav za široko rabo;Manufacture of consumer electronics; C26.40;
3; C26.5;Proizvodnja merilnih, preizkuševalnih, navigacijskih instrumentov in naprav, proizvodnja ur;Manufacture of instruments and appliances for measuring, testing and navigation, watches and clocks; C26;
4; C26.51;Proizvodnja merilnih, preizkuševalnih in navigacijskih instrumentov in naprav;Manufacture of instruments and appliances for measuring, testing and navigation; C26.5;
5; C26.510;Proizvodnja merilnih, preizkuševalnih in navigacijskih instrumentov in naprav;Manufacture of instruments and appliances for measuring, testing and navigation; C26.51;
4; C26.52;Proizvodnja ur;Manufacture of watches and clocks; C26.5;
5; C26.520;Proizvodnja ur;Manufacture of watches and clocks; C26.52;
3; C26.6;Proizvodnja sevalnih, elektromedicinskih in elektroterapevtskih naprav;Manufacture of irradiation, electromedical and electrotherapeutic equipment; C26;
4; C26.60;Proizvodnja sevalnih, elektromedicinskih in elektroterapevtskih naprav;Manufacture of irradiation, electromedical and electrotherapeutic equipment; C26.6;
5; C26.600;Proizvodnja sevalnih, elektromedicinskih in elektroterapevtskih naprav;Manufacture of irradiation, electromedical and electrotherapeutic equipment; C26.60;
3; C26.7;Proizvodnja optiènih instrumentov in fotografske opreme;Manufacture of optical instruments and photographic equipment; C26;
4; C26.70;Proizvodnja optiènih instrumentov in fotografske opreme;Manufacture of optical instruments and photographic equipment; C26.7;
5; C26.700;Proizvodnja optiènih instrumentov in fotografske opreme;Manufacture of optical instruments and photographic equipment; C26.70;
3; C26.8;Proizvodnja magnetnih in optiènih nosilcev zapisa;Manufacture of magnetic and optical media; C26;
4; C26.80;Proizvodnja magnetnih in optiènih nosilcev zapisa;Manufacture of magnetic and optical media; C26.8;
5; C26.800;Proizvodnja magnetnih in optiènih nosilcev zapisa;Manufacture of magnetic and optical media; C26.80;
2; C27;Proizvodnja elektriènih naprav;Manufacture of electrical equipment; C;
3; C27.1;Proizvodnja elektromotorjev, generatorjev, transformatorjev ter naprav za distribucijo in krmiljenje elektrike;Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus; C27;
4; C27.11;Proizvodnja elektromotorjev, generatorjev in transformatorjev;Manufacture of electric motors, generators and transformers; C27.1;
5; C27.110;Proizvodnja elektromotorjev, generatorjev in transformatorjev;Manufacture of electric motors, generators and transformers; C27.11;
4; C27.12;Proizvodnja naprav za distribucijo in krmiljenje elektrike;Manufacture of electricity distribution and control apparatus; C27.1;
5; C27.120;Proizvodnja naprav za distribucijo in krmiljenje elektrike;Manufacture of electricity distribution and control apparatus; C27.12;
3; C27.2;Proizvodnja baterij in akumulatorjev;Manufacture of batteries and accumulators; C27;
4; C27.20;Proizvodnja baterij in akumulatorjev;Manufacture of batteries and accumulators; C27.2;
5; C27.200;Proizvodnja baterij in akumulatorjev;Manufacture of batteries and accumulators; C27.20;
3; C27.3;Proizvodnja oplašèenih vodnikov in naprav za ožièenje;Manufacture of wiring and wiring devices; C27;
4; C27.31;Proizvodnja kablov iz optiènih vlaken;Manufacture of fibre optic cables; C27.3;
5; C27.310;Proizvodnja kablov iz optiènih vlaken;Manufacture of fibre optic cables; C27.31;
4; C27.32;Proizvodnja drugih elektriènih kablov in žic;Manufacture of other electronic and electric wires and cables; C27.3;
5; C27.320;Proizvodnja drugih elektriènih kablov in žic;Manufacture of other electronic and electric wires and cables; C27.32;
4; C27.33;Proizvodnja vtiènic, stikal in drugih naprav za ožièenje;Manufacture of wiring devices; C27.3;
5; C27.330;Proizvodnja vtiènic, stikal in drugih naprav za ožièenje;Manufacture of wiring devices; C27.33;
3; C27.4;Proizvodnja naprav in opreme za razsvetljavo;Manufacture of electric lighting equipment; C27;
4; C27.40;Proizvodnja naprav in opreme za razsvetljavo;Manufacture of electric lighting equipment; C27.4;
5; C27.400;Proizvodnja naprav in opreme za razsvetljavo;Manufacture of electric lighting equipment; C27.40;
3; C27.5;Proizvodnja gospodinjskih naprav;Manufacture of domestic appliances; C27;
4; C27.51;Proizvodnja elektriènih gospodinjskih naprav;Manufacture of electric domestic appliances; C27.5;
5; C27.510;Proizvodnja elektriènih gospodinjskih naprav;Manufacture of electric domestic appliances; C27.51;
4; C27.52;Proizvodnja neelektriènih gospodinjskih naprav;Manufacture of non-electric domestic appliances; C27.5;
5; C27.520;Proizvodnja neelektriènih gospodinjskih naprav;Manufacture of non-electric domestic appliances; C27.52;
3; C27.9;Proizvodnja drugih elektriènih naprav;Manufacture of other electrical equipment; C27;
4; C27.90;Proizvodnja drugih elektriènih naprav;Manufacture of other electrical equipment; C27.9;
5; C27.900;Proizvodnja drugih elektriènih naprav;Manufacture of other electrical equipment; C27.90;
2; C28;Proizvodnja drugih strojev in naprav;Manufacture of machinery and equipment n.e.c.; C;
3; C28.1;Proizvodnja strojev za splošne namene;Manufacture of general-purpose machinery; C28;
4; C28.11;Proizvodnja motorjev in turbin, razen za letala in motorna vozila;Manufacture of engines and turbines, except aircraft, vehicle and cycle engines; C28.1;
5; C28.110;Proizvodnja motorjev in turbin, razen za letala in motorna vozila;Manufacture of engines and turbines, except aircraft, vehicle and cycle engines; C28.11;
4; C28.12;Proizvodnja naprav za fluidno tehniko;Manufacture of fluid power equipment; C28.1;
5; C28.120;Proizvodnja naprav za fluidno tehniko;Manufacture of fluid power equipment; C28.12;
4; C28.13;Proizvodnja èrpalk in kompresorjev;Manufacture of other pumps and compressors; C28.1;
5; C28.130;Proizvodnja èrpalk in kompresorjev;Manufacture of other pumps and compressors; C28.13;
4; C28.14;Proizvodnja pip in ventilov;Manufacture of other taps and valves; C28.1;
5; C28.140;Proizvodnja pip in ventilov;Manufacture of other taps and valves; C28.14;
4; C28.15;Proizvodnja ležajev, zobnikov in elementov za mehanski prenos energije;Manufacture of bearings, gears, gearing and driving elements; C28.1;
5; C28.150;Proizvodnja ležajev, zobnikov in elementov za mehanski prenos energije;Manufacture of bearings, gears, gearing and driving elements; C28.15;
3; C28.2;Proizvodnja drugih naprav za splošne namene;Manufacture of other general-purpose machinery; C28;
4; C28.21;Proizvodnja peèi in gorilnikov;Manufacture of ovens, furnaces and furnace burners; C28.2;
5; C28.210;Proizvodnja peèi in gorilnikov;Manufacture of ovens, furnaces and furnace burners; C28.21;
4; C28.22;Proizvodnja dvigalnih in transportnih naprav;Manufacture of lifting and handling equipment; C28.2;
5; C28.220;Proizvodnja dvigalnih in transportnih naprav;Manufacture of lifting and handling equipment; C28.22;
4; C28.23;Proizvodnja pisarniških strojev in naprav (razen raèunalnikov in perifernih naprav);Manufacture of office machinery and equipment (except computers and peripheral equipment); C28.2;
5; C28.230;Proizvodnja pisarniških strojev in naprav (razen raèunalnikov in perifernih naprav);Manufacture of office machinery and equipment (except computers and peripheral equipment); C28.23;
4; C28.24;Proizvodnja roènih strojev in naprav;Manufacture of power-driven hand tools; C28.2;
5; C28.240;Proizvodnja roènih strojev in naprav;Manufacture of power-driven hand tools; C28.24;
4; C28.25;Proizvodnja hladilnih in prezraèevalnih naprav, razen za gospodinjstva;Manufacture of non-domestic cooling and ventilation equipment; C28.2;
5; C28.250;Proizvodnja hladilnih in prezraèevalnih naprav, razen za gospodinjstva;Manufacture of non-domestic cooling and ventilation equipment; C28.25;
4; C28.29;Proizvodnja drugih strojev in naprav za splošne namene;Manufacture of other general-purpose machinery n.e.c.; C28.2;
5; C28.290;Proizvodnja drugih strojev in naprav za splošne namene;Manufacture of other general-purpose machinery n.e.c.; C28.29;
3; C28.3;Proizvodnja kmetijskih in gozdarskih strojev;Manufacture of agricultural and forestry machinery; C28;
4; C28.30;Proizvodnja kmetijskih in gozdarskih strojev;Manufacture of agricultural and forestry machinery; C28.3;
5; C28.300;Proizvodnja kmetijskih in gozdarskih strojev;Manufacture of agricultural and forestry machinery; C28.30;
3; C28.4;Proizvodnja obdelovalnih strojev;Manufacture of metal forming machinery and machine tools; C28;
4; C28.41;Proizvodnja strojev za oblikovanje in obdelavo kovin;Manufacture of metal forming machinery; C28.4;
5; C28.410;Proizvodnja strojev za oblikovanje in obdelavo kovin;Manufacture of metal forming machinery; C28.41;
4; C28.49;Proizvodnja drugih obdelovalnih strojev;Manufacture of other machine tools; C28.4;
5; C28.490;Proizvodnja drugih obdelovalnih strojev;Manufacture of other machine tools; C28.49;
3; C28.9;Proizvodnja drugih strojev za posebne namene;Manufacture of other special-purpose machinery; C28;
4; C28.91;Proizvodnja metalurških strojev;Manufacture of machinery for metallurgy; C28.9;
5; C28.910;Proizvodnja metalurških strojev;Manufacture of machinery for metallurgy; C28.91;
4; C28.92;Proizvodnja rudarskih in gradbenih strojev;Manufacture of machinery for mining, quarrying and construction; C28.9;
5; C28.920;Proizvodnja rudarskih in gradbenih strojev;Manufacture of machinery for mining, quarrying and construction; C28.92;
4; C28.93;Proizvodnja strojev za živilsko in tobaèno industrijo;Manufacture of machinery for food, beverage and tobacco processing; C28.9;
5; C28.930;Proizvodnja strojev za živilsko in tobaèno industrijo;Manufacture of machinery for food, beverage and tobacco processing; C28.93;
4; C28.94;Proizvodnja strojev za tekstilno, oblaèilno in usnjarsko industrijo;Manufacture of machinery for textile, apparel and leather production; C28.9;
5; C28.940;Proizvodnja strojev za tekstilno, oblaèilno in usnjarsko industrijo;Manufacture of machinery for textile, apparel and leather production; C28.94;
4; C28.95;Proizvodnja strojev za industrijo papirja in kartona;Manufacture of machinery for paper and paperboard production; C28.9;
5; C28.950;Proizvodnja strojev za industrijo papirja in kartona;Manufacture of machinery for paper and paperboard production; C28.95;
4; C28.96;Proizvodnja strojev za plastiko in gumo;Manufacture of plastics and rubber machinery; C28.9;
5; C28.960;Proizvodnja strojev za plastiko in gumo;Manufacture of plastics and rubber machinery; C28.96;
4; C28.99;Proizvodnja strojev za druge posebne namene;Manufacture of other special-purpose machinery n.e.c.; C28.9;
5; C28.990;Proizvodnja strojev za druge posebne namene;Manufacture of other special-purpose machinery n.e.c.; C28.99;
2; C29;Proizvodnja motornih vozil, prikolic in polprikolic;Manufacture of motor vehicles, trailers and semi-trailers; C;
3; C29.1;Proizvodnja motornih vozil;Manufacture of motor vehicles; C29;
4; C29.10;Proizvodnja motornih vozil;Manufacture of motor vehicles; C29.1;
5; C29.100;Proizvodnja motornih vozil;Manufacture of motor vehicles; C29.10;
3; C29.2;Proizvodnja karoserij za vozila, proizvodnja prikolic, polprikolic;Manufacture of bodies (coachwork) for motor vehicles, manufacture of trailers and semi-trailers; C29;
4; C29.20;Proizvodnja karoserij za vozila, proizvodnja prikolic, polprikolic;Manufacture of bodies (coachwork) for motor vehicles, manufacture of trailers and semi-trailers; C29.2;
5; C29.200;Proizvodnja karoserij za vozila, proizvodnja prikolic, polprikolic;Manufacture of bodies (coachwork) for motor vehicles, manufacture of trailers and semi-trailers; C29.20;
3; C29.3;Proizvodnja delov in opreme za motorna vozila;Manufacture of parts and accessories for motor vehicles; C29;
4; C29.31;Proizvodnja elektriène in elektronske opreme za motorna vozila;Manufacture of electrical and electronic equipment for motor vehicles; C29.3;
5; C29.310;Proizvodnja elektriène in elektronske opreme za motorna vozila;Manufacture of electrical and electronic equipment for motor vehicles; C29.31;
4; C29.32;Proizvodnja drugih delov in opreme za motorna vozila;Manufacture of other parts and accessories for motor vehicles; C29.3;
5; C29.320;Proizvodnja drugih delov in opreme za motorna vozila;Manufacture of other parts and accessories for motor vehicles; C29.32;
2; C30;Proizvodnja drugih vozil in plovil;Manufacture of other transport equipment; C;
3; C30.1;Gradnja ladij in èolnov;Building of ships and boats; C30;
4; C30.11;Gradnja ladij in plavajoèih konstrukcij;Building of ships and floating structures; C30.1;
5; C30.110;Gradnja ladij in plavajoèih konstrukcij;Building of ships and floating structures; C30.11;
4; C30.12;Proizvodnja èolnov za razvedrilo in šport;Building of pleasure and sporting boats; C30.1;
5; C30.120;Proizvodnja èolnov za razvedrilo in šport;Building of pleasure and sporting boats; C30.12;
3; C30.2;Proizvodnja železniških in drugih tirnih vozil;Manufacture of railway locomotives and rolling stock; C30;
4; C30.20;Proizvodnja železniških in drugih tirnih vozil;Manufacture of railway locomotives and rolling stock; C30.2;
5; C30.200;Proizvodnja železniških in drugih tirnih vozil;Manufacture of railway locomotives and rolling stock; C30.20;
3; C30.3;Proizvodnja zraènih in vesoljskih plovil;Manufacture of air and spacecraft and related machinery; C30;
4; C30.30;Proizvodnja zraènih in vesoljskih plovil;Manufacture of air and spacecraft and related machinery; C30.3;
5; C30.300;Proizvodnja zraènih in vesoljskih plovil;Manufacture of air and spacecraft and related machinery; C30.30;
3; C30.4;Proizvodnja bojnih vozil;Manufacture of military fighting vehicles; C30;
4; C30.40;Proizvodnja bojnih vozil;Manufacture of military fighting vehicles; C30.4;
5; C30.400;Proizvodnja bojnih vozil;Manufacture of military fighting vehicles; C30.40;
3; C30.9;Proizvodnja drugih vozil;Manufacture of transport equipment n.e.c.; C30;
4; C30.91;Proizvodnja motornih koles;Manufacture of motorcycles; C30.9;
5; C30.910;Proizvodnja motornih koles;Manufacture of motorcycles; C30.91;
4; C30.92;Proizvodnja koles in invalidskih vozièkov;Manufacture of bicycles and invalid carriages; C30.9;
5; C30.920;Proizvodnja koles in invalidskih vozièkov;Manufacture of bicycles and invalid carriages; C30.92;
4; C30.99;Proizvodnja vprežnih in drugih vozil;Manufacture of other transport equipment n.e.c.; C30.9;
5; C30.990;Proizvodnja vprežnih in drugih vozil;Manufacture of other transport equipment n.e.c.; C30.99;
2; C31;Proizvodnja pohištva;Manufacture of furniture; C;
3; C31.0;Proizvodnja pohištva;Manufacture of furniture; C31;
4; C31.01;Proizvodnja pohištva za poslovne in prodajne prostore;Manufacture of office and shop furniture; C31.0;
5; C31.010;Proizvodnja pohištva za poslovne in prodajne prostore;Manufacture of office and shop furniture; C31.01;
4; C31.02;Proizvodnja kuhinjskega pohištva;Manufacture of kitchen furniture; C31.0;
5; C31.020;Proizvodnja kuhinjskega pohištva;Manufacture of kitchen furniture; C31.02;
4; C31.03;Proizvodnja žimnic;Manufacture of mattresses; C31.0;
5; C31.030;Proizvodnja žimnic;Manufacture of mattresses; C31.03;
4; C31.09;Proizvodnja drugega pohištva;Manufacture of other furniture; C31.0;
5; C31.090;Proizvodnja drugega pohištva;Manufacture of other furniture; C31.09;
2; C32;Druge raznovrstne predelovalne dejavnosti;Other manufacturing; C;
3; C32.1;Proizvodnja nakita, bižuterije in podobnih izdelkov;Manufacture of jewellery, bijouterie and related articles; C32;
4; C32.11;Kovanje kovancev;Striking of coins; C32.1;
5; C32.110;Kovanje kovancev;Striking of coins; C32.11;
4; C32.12;Proizvodnja nakita in podobnih izdelkov;Manufacture of jewellery and related articles; C32.1;
5; C32.120;Proizvodnja nakita in podobnih izdelkov;Manufacture of jewellery and related articles; C32.12;
4; C32.13;Proizvodnja bižuterije;Manufacture of imitation jewellery and related articles; C32.1;
5; C32.130;Proizvodnja bižuterije;Manufacture of imitation jewellery and related articles; C32.13;
3; C32.2;Proizvodnja glasbil;Manufacture of musical instruments; C32;
4; C32.20;Proizvodnja glasbil;Manufacture of musical instruments; C32.2;
5; C32.200;Proizvodnja glasbil;Manufacture of musical instruments; C32.20;
3; C32.3;Proizvodnja športne opreme;Manufacture of sports goods; C32;
4; C32.30;Proizvodnja športne opreme;Manufacture of sports goods; C32.3;
5; C32.300;Proizvodnja športne opreme;Manufacture of sports goods; C32.30;
3; C32.4;Proizvodnja igraè in rekvizitov za igre in zabavo;Manufacture of games and toys; C32;
4; C32.40;Proizvodnja igraè in rekvizitov za igre in zabavo;Manufacture of games and toys; C32.4;
5; C32.400;Proizvodnja igraè in rekvizitov za igre in zabavo;Manufacture of games and toys; C32.40;
3; C32.5;Proizvodnja medicinskih instrumentov, naprav in pripomoèkov;Manufacture of medical and dental instruments and supplies; C32;
4; C32.50;Proizvodnja medicinskih instrumentov, naprav in pripomoèkov;Manufacture of medical and dental instruments and supplies; C32.5;
5; C32.500;Proizvodnja medicinskih instrumentov, naprav in pripomoèkov;Manufacture of medical and dental instruments and supplies; C32.50;
3; C32.9;Druge predelovalne dejavnosti;Manufacturing n.e.c.; C32;
4; C32.91;Proizvodnja metel in krtaè;Manufacture of brooms and brushes; C32.9;
5; C32.910;Proizvodnja metel in krtaè;Manufacture of brooms and brushes; C32.91;
4; C32.99;Drugje nerazvršèene predelovalne dejavnosti;Other manufacturing n.e.c.; C32.9;
5; C32.990;Drugje nerazvršèene predelovalne dejavnosti;Other manufacturing n.e.c.; C32.99;
2; C33;Popravila in montaža strojev in naprav;Repair and installation of machinery and equipment; C;
3; C33.1;Popravila kovinskih izdelkov, strojev in naprav;Repair of fabricated metal products, machinery and equipment; C33;
4; C33.11;Popravila kovinskih izdelkov;Repair of fabricated metal products; C33.1;
5; C33.110;Popravila kovinskih izdelkov;Repair of fabricated metal products; C33.11;
4; C33.12;Popravila strojev in naprav;Repair of machinery; C33.1;
5; C33.120;Popravila strojev in naprav;Repair of machinery; C33.12;
4; C33.13;Popravila elektronskih in optiènih naprav;Repair of electronic and optical equipment; C33.1;
5; C33.130;Popravila elektronskih in optiènih naprav;Repair of electronic and optical equipment; C33.13;
4; C33.14;Popravila elektriènih naprav;Repair of electrical equipment; C33.1;
5; C33.140;Popravila elektriènih naprav;Repair of electrical equipment; C33.14;
4; C33.15;Popravila in vzdrževanje ladij in èolnov;Repair and maintenance of ships and boats; C33.1;
5; C33.150;Popravila in vzdrževanje ladij in èolnov;Repair and maintenance of ships and boats; C33.15;
4; C33.16;Popravila in vzdrževanje zraènih in vesoljskih plovil;Repair and maintenance of aircraft and spacecraft; C33.1;
5; C33.160;Popravila in vzdrževanje zraènih in vesoljskih plovil;Repair and maintenance of aircraft and spacecraft; C33.16;
4; C33.17;Popravila in vzdrževanje drugih prevoznih sredstev;Repair and maintenance of other transport equipment; C33.1;
5; C33.170;Popravila in vzdrževanje drugih prevoznih sredstev;Repair and maintenance of other transport equipment; C33.17;
4; C33.19;Popravila drugih naprav;Repair of other equipment; C33.1;
5; C33.190;Popravila drugih naprav;Repair of other equipment; C33.19;
3; C33.2;Montaža industrijskih strojev in naprav;Installation of industrial machinery and equipment; C33;
4; C33.20;Montaža industrijskih strojev in naprav;Installation of industrial machinery and equipment; C33.2;
5; C33.200;Montaža industrijskih strojev in naprav;Installation of industrial machinery and equipment; C33.20;
1; D;OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO;ELECTRICITY,  GAS, STEAM AND AIR CONDITIONING SUPPLY; ;
2; D35;Oskrba z elektrièno energijo, plinom in paro;Electricity, gas, steam and air conditioning supply; D;
3; D35.1;Oskrba z elektrièno energijo;Electric power generation, transmission and distribution; D35;
4; D35.11;Proizvodnja elektriène energije;Production of electricity; D35.1;
5; D35.111;Proizvodnja elektriène energije v hidroelektrarnah;Production of electricity in HE generation facilities; D35.11;
5; D35.112;Proizvodnja elektriène energije v termoelektrarnah, jedrskih elektrarnah;Production of electricity in thermal power stations; D35.11;
5; D35.119;Druga proizvodnja elektriène energije;Other production of electricity; D35.11;
4; D35.12;Prenos elektriène energije;Transmission of electricity; D35.1;
5; D35.120;Prenos elektriène energije;Transmission of electricity; D35.12;
4; D35.13;Distribucija elektriène energije;Distribution of electricity; D35.1;
5; D35.130;Distribucija elektriène energije;Distribution of electricity; D35.13;
4; D35.14;Trgovanje z elektrièno energijo;Trade of electricity; D35.1;
5; D35.140;Trgovanje z elektrièno energijo;Trade of electricity; D35.14;
3; D35.2;Oskrba s plinastimi gorivi;Manufacture of gas, distribution of gaseous fuels through mains; D35;
4; D35.21;Proizvodnja plina;Manufacture of gas; D35.2;
5; D35.210;Proizvodnja plina;Manufacture of gas; D35.21;
4; D35.22;Distribucija plinastih goriv po plinovodni mreži;Distribution of gaseous fuels through mains; D35.2;
5; D35.220;Distribucija plinastih goriv po plinovodni mreži;Distribution of gaseous fuels through mains; D35.22;
4; D35.23;Trgovanje s plinastimi gorivi po plinovodni mreži;Trade of gas through mains; D35.2;
5; D35.230;Trgovanje s plinastimi gorivi po plinovodni mreži;Trade of gas through mains; D35.23;
3; D35.3;Oskrba s paro in vroèo vodo;Steam and air conditioning supply; D35;
4; D35.30;Oskrba s paro in vroèo vodo;Steam and air conditioning supply; D35.3;
5; D35.300;Oskrba s paro in vroèo vodo;Steam and air conditioning supply; D35.30;
1; E;OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES; ;
2; E36;Zbiranje, preèišèevanje in distribucija vode;Water collection, treatment and supply; E;
3; E36.0;Zbiranje, preèišèevanje in distribucija vode;Water collection, treatment and supply; E36;
4; E36.00;Zbiranje, preèišèevanje in distribucija vode;Water collection, treatment and supply; E36.0;
5; E36.000;Zbiranje, preèišèevanje in distribucija vode;Water collection, treatment and supply; E36.00;
2; E37;Ravnanje z odplakami;Sewerage; E;
3; E37.0;Ravnanje z odplakami;Sewerage; E37;
4; E37.00;Ravnanje z odplakami;Sewerage; E37.0;
5; E37.000;Ravnanje z odplakami;Sewerage; E37.00;
2; E38;Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin;Waste collection, treatment and disposal activities, materials recovery; E;
3; E38.1;Zbiranje in odvoz odpadkov;Waste collection; E38;
4; E38.11;Zbiranje in odvoz nenevarnih odpadkov;Collection of non-hazardous waste; E38.1;
5; E38.110;Zbiranje in odvoz nenevarnih odpadkov;Collection of non-hazardous waste; E38.11;
4; E38.12;Zbiranje in odvoz nevarnih odpadkov;Collection of hazardous waste; E38.1;
5; E38.120;Zbiranje in odvoz nevarnih odpadkov;Collection of hazardous waste; E38.12;
3; E38.2;Ravnanje z odpadki;Waste treatment and disposal; E38;
4; E38.21;Ravnanje z nenevarnimi odpadki;Treatment and disposal of non-hazardous waste; E38.2;
5; E38.210;Ravnanje z nenevarnimi odpadki;Treatment and disposal of non-hazardous waste; E38.21;
4; E38.22;Ravnanje z nevarnimi odpadki;Treatment and disposal of hazardous waste; E38.2;
5; E38.220;Ravnanje z nevarnimi odpadki;Treatment and disposal of hazardous waste; E38.22;
3; E38.3;Pridobivanje sekundarnih surovin;Materials recovery; E38;
4; E38.31;Demontaža odpadnih naprav;Dismantling of wrecks; E38.3;
5; E38.310;Demontaža odpadnih naprav;Dismantling of wrecks; E38.31;
4; E38.32;Pridobivanje sekundarnih surovin iz ostankov in odpadkov;Recovery of sorted materials; E38.3;
5; E38.320;Pridobivanje sekundarnih surovin iz ostankov in odpadkov;Recovery of sorted materials; E38.32;
2; E39;Saniranje okolja in drugo ravnanje z odpadki;Remediation activities and other waste management services; E;
3; E39.0;Saniranje okolja in drugo ravnanje z odpadki;Remediation activities and other waste management services; E39;
4; E39.00;Saniranje okolja in drugo ravnanje z odpadki;Remediation activities and other waste management services; E39.0;
5; E39.000;Saniranje okolja in drugo ravnanje z odpadki;Remediation activities and other waste management services; E39.00;
1; F;GRADBENIŠTVO;CONSTRUCTION; ;
2; F41;Gradnja stavb;Construction of buildings; F;
3; F41.1;Organizacija izvedbe stavbnih projektov;Development of building projects; F41;
4; F41.10;Organizacija izvedbe stavbnih projektov;Development of building projects; F41.1;
5; F41.100;Organizacija izvedbe stavbnih projektov;Development of building projects; F41.10;
3; F41.2;Gradnja stanovanjskih in nestanovanjskih stavb;Construction of residential and non-residential buildings; F41;
4; F41.20;Gradnja stanovanjskih in nestanovanjskih stavb;Construction of residential and non-residential buildings; F41.2;
5; F41.200;Gradnja stanovanjskih in nestanovanjskih stavb;Construction of residential and non-residential buildings; F41.20;
2; F42;Gradnja inženirskih objektov;Civil engineering; F;
3; F42.1;Gradnja cest in železnic;Construction of roads and railways; F42;
4; F42.11;Gradnja cest;Construction of roads and motorways; F42.1;
5; F42.110;Gradnja cest;Construction of roads and motorways; F42.11;
4; F42.12;Gradnja železnic in podzemnih železnic;Construction of railways and underground railways; F42.1;
5; F42.120;Gradnja železnic in podzemnih železnic;Construction of railways and underground railways; F42.12;
4; F42.13;Gradnja mostov in predorov;Construction of bridges and tunnels; F42.1;
5; F42.130;Gradnja mostov in predorov;Construction of bridges and tunnels; F42.13;
3; F42.2;Gradnja objektov oskrbne infrastrukture;Construction of utility projects; F42;
4; F42.21;Gradnja objektov oskrbne infrastrukture za tekoèine in pline;Construction of utility projects for fluids; F42.2;
5; F42.210;Gradnja objektov oskrbne infrastrukture za tekoèine in pline;Construction of utility projects for fluids; F42.21;
4; F42.22;Gradnja objektov oskrbne infrastrukture za elektriko in telekomunikacije;Construction of utility projects for electricity and telecommunications; F42.2;
5; F42.220;Gradnja objektov oskrbne infrastrukture za elektriko in telekomunikacije;Construction of utility projects for electricity and telecommunications; F42.22;
3; F42.9;Gradnja drugih inženirskih objektov;Construction of other civil engineering projects; F42;
4; F42.91;Gradnja vodnih objektov;Construction of water projects; F42.9;
5; F42.910;Gradnja vodnih objektov;Construction of water projects; F42.91;
4; F42.99;Gradnja drugih objektov nizke gradnje;Construction of other civil engineering projects n.e.c.; F42.9;
5; F42.990;Gradnja drugih objektov nizke gradnje;Construction of other civil engineering projects n.e.c.; F42.99;
2; F43;Specializirana gradbena dela;Specialised construction activities; F;
3; F43.1;Pripravljalna dela na gradbišèu;Demolition and site preparation; F43;
4; F43.11;Rušenje objektov;Demolition; F43.1;
5; F43.110;Rušenje objektov;Demolition; F43.11;
4; F43.12;Zemeljska pripravljalna dela;Site preparation; F43.1;
5; F43.120;Zemeljska pripravljalna dela;Site preparation; F43.12;
4; F43.13;Testno vrtanje in sondiranje;Test drilling and boring; F43.1;
5; F43.130;Testno vrtanje in sondiranje;Test drilling and boring; F43.13;
3; F43.2;Inštaliranje pri gradnjah;Electrical, plumbing and other construction installation activities; F43;
4; F43.21;Inštaliranje elektriènih napeljav in naprav;Electrical installation; F43.2;
5; F43.210;Inštaliranje elektriènih napeljav in naprav;Electrical installation; F43.21;
4; F43.22;Inštaliranje vodovodnih, plinskih in ogrevalnih napeljav in naprav;Plumbing, heat and air-conditioning installation; F43.2;
5; F43.220;Inštaliranje vodovodnih, plinskih in ogrevalnih napeljav in naprav;Plumbing, heat and air-conditioning installation; F43.22;
4; F43.29;Drugo inštaliranje pri gradnjah;Other construction installation; F43.2;
5; F43.290;Drugo inštaliranje pri gradnjah;Other construction installation; F43.29;
3; F43.3;Zakljuèna gradbena dela;Building completion and finishing; F43;
4; F43.31;Fasaderska in štukaterska dela;Plastering; F43.3;
5; F43.310;Fasaderska in štukaterska dela;Plastering; F43.31;
4; F43.32;Vgrajevanje stavbnega pohištva;Joinery installation; F43.3;
5; F43.320;Vgrajevanje stavbnega pohištva;Joinery installation; F43.32;
4; F43.33;Oblaganje tal in sten;Floor and wall covering; F43.3;
5; F43.330;Oblaganje tal in sten;Floor and wall covering; F43.33;
