 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
3; C20.1;Proizvodnja osnovnih kemikalij, gnojil in dušikovih spojin, plastiènih mas in sintetiènega kavèuka v primarni obliki;Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms; C20;
4; C20.11;Proizvodnja tehniènih plinov;Manufacture of industrial gases; C20.1;
5; C20.110;Proizvodnja tehniènih plinov;Manufacture of industrial gases; C20.11;
4; C20.12;Proizvodnja barvil in pigmentov;Manufacture of dyes and pigments; C20.1;
5; C20.120;Proizvodnja barvil in pigmentov;Manufacture of dyes and pigments; C20.12;
4; C20.13;Proizvodnja drugih anorganskih osnovnih kemikalij;Manufacture of other inorganic basic chemicals; C20.1;
5; C20.130;Proizvodnja drugih anorganskih osnovnih kemikalij;Manufacture of other inorganic basic chemicals; C20.13;
4; C20.14;Proizvodnja drugih organskih osnovnih kemikalij;Manufacture of other organic basic chemicals; C20.1;
5; C20.140;Proizvodnja drugih organskih osnovnih kemikalij;Manufacture of other organic basic chemicals; C20.14;
4; C20.15;Proizvodnja gnojil in dušikovih spojin;Manufacture of fertilizers and nitrogen compounds; C20.1;
5; C20.150;Proizvodnja gnojil in dušikovih spojin;Manufacture of fertilizers and nitrogen compounds; C20.15;
4; C20.16;Proizvodnja plastiènih mas v primarni obliki;Manufacture of plastics in primary forms; C20.1;
5; C20.160;Proizvodnja plastiènih mas v primarni obliki;Manufacture of plastics in primary forms; C20.16;
4; C20.17;Proizvodnja sintetiènega kavèuka v primarni obliki;Manufacture of synthetic rubber in primary forms; C20.1;
5; C20.170;Proizvodnja sintetiènega kavèuka v primarni obliki;Manufacture of synthetic rubber in primary forms; C20.17;
3; C20.2;Proizvodnja razkužil, pesticidov in drugih agrokemiènih izdelkov;Manufacture of pesticides and other agrochemical products; C20;
4; C20.20;Proizvodnja razkužil, pesticidov in drugih agrokemiènih izdelkov;Manufacture of pesticides and other agrochemical products; C20.2;
5; C20.200;Proizvodnja razkužil, pesticidov in drugih agrokemiènih izdelkov;Manufacture of pesticides and other agrochemical products; C20.20;
3; C20.3;Proizvodnja barv, lakov in podobnih premazov, tiskarskih barv in kitov;Manufacture of paints, varnishes and similar coatings, printing ink and mastics; C20;
4; C20.30;Proizvodnja barv, lakov in podobnih premazov, tiskarskih barv in kitov;Manufacture of paints, varnishes and similar coatings, printing ink and mastics; C20.3;
5; C20.300;Proizvodnja barv, lakov in podobnih premazov, tiskarskih barv in kitov;Manufacture of paints, varnishes and similar coatings, printing ink and mastics; C20.30;
3; C20.4;Proizvodnja mil in pralnih sredstev, èistilnih in polirnih sredstev, parfumov in toaletnih sredstev;Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations; C20;
4; C20.41;Proizvodnja mil in pralnih sredstev, èistilnih in polirnih sredstev;Manufacture of soap and detergents, cleaning and polishing preparations; C20.4;
5; C20.410;Proizvodnja mil in pralnih sredstev, èistilnih in polirnih sredstev;Manufacture of soap and detergents, cleaning and polishing preparations; C20.41;
4; C20.42;Proizvodnja parfumov in toaletnih sredstev;Manufacture of perfumes and toilet preparations; C20.4;
5; C20.420;Proizvodnja parfumov in toaletnih sredstev;Manufacture of perfumes and toilet preparations; C20.42;
3; C20.5;Proizvodnja razstreliv, lepil, eteriènih olj in drugih kemiènih izdelkov;Manufacture of other chemical products; C20;
4; C20.51;Proizvodnja razstreliv;Manufacture of explosives; C20.5;
5; C20.510;Proizvodnja razstreliv;Manufacture of explosives; C20.51;
4; C20.52;Proizvodnja sredstev za lepljenje;Manufacture of glues; C20.5;
5; C20.520;Proizvodnja sredstev za lepljenje;Manufacture of glues; C20.52;
4; C20.53;Proizvodnja eteriènih olj;Manufacture of essential oils; C20.5;
5; C20.530;Proizvodnja eteriènih olj;Manufacture of essential oils; C20.53;
4; C20.59;Proizvodnja drugih kemiènih izdelkov;Manufacture of other chemical products n.e.c.; C20.5;
5; C20.590;Proizvodnja drugih kemiènih izdelkov;Manufacture of other chemical products n.e.c.; C20.59;
3; C20.6;Proizvodnja umetnih vlaken;Manufacture of man-made fibres; C20;
4; C20.60;Proizvodnja umetnih vlaken;Manufacture of man-made fibres; C20.6;
5; C20.600;Proizvodnja umetnih vlaken;Manufacture of man-made fibres; C20.60;
2; C21;Proizvodnja farmacevtskih surovin in preparatov;Manufacture of basic pharmaceutical products and pharmaceutical preparations; C;
3; C21.1;Proizvodnja farmacevtskih surovin;Manufacture of basic pharmaceutical products; C21;
4; C21.10;Proizvodnja farmacevtskih surovin;Manufacture of basic pharmaceutical products; C21.1;
5; C21.100;Proizvodnja farmacevtskih surovin;Manufacture of basic pharmaceutical products; C21.10;
3; C21.2;Proizvodnja farmacevtskih preparatov;Manufacture of pharmaceutical preparations; C21;
4; C21.20;Proizvodnja farmacevtskih preparatov;Manufacture of pharmaceutical preparations; C21.2;
5; C21.200;Proizvodnja farmacevtskih preparatov;Manufacture of pharmaceutical preparations; C21.20;
2; C22;Proizvodnja izdelkov iz gume in plastiènih mas;Manufacture of rubber and plastic products; C;
3; C22.1;Proizvodnja izdelkov iz gume;Manufacture of rubber products; C22;
4; C22.11;Proizvodnja in obnavljanje gumijastih plašèev in zraènic za vozila;Manufacture of rubber tyres and tubes, retreading and rebuilding of rubber tyres; C22.1;
5; C22.110;Proizvodnja in obnavljanje gumijastih plašèev in zraènic za vozila;Manufacture of rubber tyres and tubes, retreading and rebuilding of rubber tyres; C22.11;
